pango,R,seq_volume
CH.1.1.27,9.042807579040527,366
CH.1.1.28,13.321842193603516,430
CH.1.1.3,11.135390281677246,680
CH.1.1.5,13.41023063659668,587
CH.1.1.6,17.213199615478516,477
CH.1.1.7,9.787314414978027,1228
CH.1.1.8,15.63831901550293,317
CH.1.1.9,11.355685234069824,293
CJ.1.2,3.4923648834228516,723
CJ.1.3,12.662626266479492,1236
CK.1,0.6295620203018188,1543
CK.1.1,2.0873444080352783,231
CK.1.3,10.309456825256348,272
CK.1.4,7.536907196044922,763
CK.1.5,3.077253818511963,459
CK.2.1,-0.731403112411499,550
CK.2.1.1,-3.1645054817199707,1786
CK.3,-0.9835271835327148,592
CL.1,0.3761501610279083,2449
CL.1.1,-0.7367978096008301,564
CL.1.2,1.1704294681549072,296
CL.1.3,2.4097652435302734,253
CM.10,14.352170944213867,248
CM.12,4.804821968078613,458
CM.2,-7.965308666229248,1087
CM.4,-8.159577369689941,448
CM.5,-8.841649055480957,272
CM.8.1,7.37678337097168,988
CN.1,-7.2960333824157715,742
CN.2,-6.754833221435547,496
CP.1,-8.317928314208984,878
CP.7,0.5316647887229919,306
CP.8,-6.431826114654541,574
CQ.1.1,-3.986798048019409,506
CQ.2,-1.33865487575531,1507
CR.1,-1.081315517425537,650
CR.1.1,-1.666513442993164,847
CV.1,0.021157940849661827,549
CY.2,-8.204663276672363,303
CZ.2,2.2792539596557617,467
DB.1,4.89825963973999,575
DC.1,-10.03472900390625,227
DE.1,-26.716489791870117,435
DF.1,-4.0336384773254395,897
DF.1.1,3.9214208126068115,628
DG.1,-0.8580687642097473,264
DJ.1.1.1,-0.9943260550498962,886
DL.1,-3.888838291168213,1950
DN.1,9.909984588623047,507
DN.1.1,9.076777458190918,560
DN.2,0.04957747831940651,2455
DP.1,0.9918250441551208,2192
DQ.1,-1.6697890758514404,435
DR.1,7.648608207702637,359
DR.2,4.820376873016357,413
DS.2,9.756235122680664,507
DS.3,5.474340438842773,702
DT.2,14.08942699432373,1058
DU.1,17.002696990966797,991
DV.1.1,26.017425537109375,1211
DV.3,12.011561393737793,436
DV.5,28.564178466796875,213
DV.6,17.62197494506836,3581
DV.6.2,38.01831817626953,335
DV.7,32.428009033203125,218
DV.7.1,59.42742156982422,950
DV.7.1.2,56.750030517578125,248
DV.8,30.467086791992188,282
DY.1,0.29173704981803894,1811
DY.2,1.7284104824066162,4431
DY.3,-1.0095546245574951,1779
DY.4,0.46655261516571045,3064
DZ.2,-3.96563458442688,213
EA.1,16.618221282958984,394
EB.1,-4.2999982833862305,238
EC.1,7.98762845993042,208
ED.1,-3.5861454010009766,3452
ED.2,3.301845073699951,911
EE.1,2.521003007888794,876
EE.2,2.542339324951172,895
EE.3,2.2970869541168213,663
EE.4,8.146109580993652,201
EE.5,3.5901920795440674,457
EF.1,9.567749977111816,2484
EF.1.1,7.735358715057373,2070
EF.1.1.1,15.183084487915039,281
EF.1.2,8.067835807800293,511
EF.1.3,7.609659671783447,253
EF.2,8.991433143615723,661
EG.1,35.99440002441406,7614
EG.1.2,31.461090087890625,1198
EG.1.3,33.767578125,1172
EG.1.4,33.5500373840332,1091
EG.1.5,39.13893127441406,239
EG.1.6,36.01581573486328,2061
EG.10.1,58.5447883605957,473
EG.13,31.266042709350586,923
EG.14,36.11613464355469,536
EG.2,41.73786544799805,2159
EG.4,32.4534912109375,1268
EG.5.1,52.54837417602539,9915
EG.5.1.1,55.32332229614258,15781
EG.5.1.2,47.21207809448242,391
EG.5.1.3,57.22513198852539,4949
EG.5.1.4,55.9375114440918,2304
EG.5.1.5,51.0273323059082,320
EG.5.1.6,59.1011848449707,1193
EG.5.1.8,76.76371765136719,207
EG.5.2,42.033058166503906,1032
EG.5.2.1,47.92160415649414,325
EG.6.1,48.65908432006836,2337
EG.7,45.9156608581543,272
EJ.2,2.95135498046875,1066
EJ.3,5.031257629394531,241
EK.2,25.841455459594727,403
EK.3,25.265975952148438,231
EL.1,27.605751037597656,1201
EM.1,24.580610275268555,598
EN.1,18.311370849609375,606
EQ.1,-6.046829700469971,263
ES.1,16.300762176513672,273
ET.1,15.277645111083984,237
EU.1.1,35.02692794799805,1825
EU.1.1.1,34.9228630065918,597
EW.1,10.947698593139648,279
EW.2,8.888875007629395,237
EY.1,23.357450485229492,355
EZ.1,22.34392738342285,306
FD.1.1,36.91940689086914,1868
FD.2,26.364500045776367,2569
FD.3,28.11117172241211,223
FD.4,28.264925003051758,957
FD.4.1,24.00287628173828,316
FE.1,37.32932662963867,342
FE.1.1,41.04610824584961,1266
FE.1.1.1,38.5047607421875,287
FE.1.2,39.71416473388672,1512
FG.2,27.292478561401367,296
FG.3,28.536619186401367,208
FH.1,30.03375244140625,343
FK.1,29.84916114807129,324
FK.1.1,38.539459228515625,1430
FK.1.1.2,38.408294677734375,793
FK.1.2.1,31.607606887817383,243
FK.1.3.2,42.13189697265625,396
FK.1.5,38.125999450683594,287
FL.1,35.01677322387695,639
FL.1.2,34.349609375,251
FL.1.3,36.58431625366211,563
FL.1.5,45.46912384033203,498
FL.1.5.1,58.53169631958008,4724
FL.10,31.83755874633789,1335
FL.10.1,48.45585632324219,1313
FL.11,34.06337356567383,360
FL.12,30.97025489807129,986
FL.13,31.447525024414062,1253
FL.13.1,32.827964782714844,224
FL.13.2,51.91483688354492,225
FL.13.3,33.08293533325195,398
FL.14,39.42354202270508,718
FL.15,46.11468505859375,1359
FL.16,42.5025520324707,524
FL.17,27.07227897644043,283
FL.18,35.84781265258789,1025
FL.19,34.781288146972656,527
FL.2,33.472389221191406,3640
FL.2.1,32.94308853149414,642
FL.2.3,40.811920166015625,1893
FL.2.4,38.736026763916016,458
FL.20,54.64064407348633,544
FL.22,35.5433235168457,426
FL.24,47.561912536621094,420
FL.25,41.95169448852539,336
FL.26,31.517667770385742,216
FL.27,29.94452667236328,722
FL.29,35.6053352355957,243
FL.3,31.13341522216797,2035
FL.3.1,32.43136215209961,1161
FL.3.2,32.008113861083984,802
FL.3.3,29.708839416503906,312
FL.4,34.43667984008789,6392
FL.4.11,35.56148910522461,285
FL.4.2,38.85085678100586,256
FL.4.5,35.41905975341797,860
FL.4.6,36.47343444824219,717
FL.4.8,43.36709213256836,209
FL.4.9,39.58220291137695,211
FL.5,32.47685241699219,2849
FL.7,37.229637145996094,432
FL.8,30.899904251098633,1043
FL.9,33.7302131652832,269
FM.1,19.177160263061523,214
FM.2,21.465343475341797,246
FP.1,29.959115982055664,392
FP.4,30.429033279418945,379
FR.1,23.848390579223633,657
FR.1.1,38.97214126586914,431
FR.2,10.042928695678711,670
FS.1,30.686992645263672,299
FT.1,21.39126205444336,385
FU.1,41.99066162109375,5179
FU.2,44.170719146728516,1237
FU.2.1,48.02360916137695,870
FU.3,35.256038665771484,256
FV.1,34.995182037353516,214
FY.1.2,45.854888916015625,420
FY.2,43.34977340698242,714
FY.2.1,43.96950149536133,452
FY.3,47.33126449584961,615
FY.3.1,47.898075103759766,1725
FY.3.2,47.042938232421875,731
FY.3.3,48.459835052490234,478
FY.5,47.424930572509766,708
FY.6,38.85457229614258,313
GA.2,29.240942001342773,229
GB.1,37.04472351074219,731
GD.1,41.00152587890625,354
GE.1,51.37311553955078,1771
GE.1.3,47.46900177001953,237
GF.1,38.836265563964844,1193
GH.1,27.91277313232422,293
GJ.1.1,43.76645278930664,413
GJ.1.2,48.17059326171875,3309
GJ.3,40.278560638427734,321
GJ.4,44.33464431762695,202
